baseline,bootstrap_seed,candidate,ci_lower,ci_upper,confidence,difference_definition,lead_time,losses,mean_improvement,metric,n_pairs,n_resamples,ties,wins
unet_single_frame,2026,convlstm_unet,-0.009424723871052266,5.473908968269686e-05,0.95,candidate improvement over baseline; positive is better,1,6,-0.004725705971941353,mae,8,10000,0,2
unet_single_frame,2026,convlstm_unet,-0.03380817118760866,0.00774655450685866,0.95,candidate improvement over baseline; positive is better,1,4,-0.012689186409236275,csi,8,10000,0,4
unet_single_frame,2026,convlstm_unet,-0.013198341936804352,0.00015067397616803064,0.95,candidate improvement over baseline; positive is better,3,6,-0.006477901991456746,mae,8,10000,0,2
unet_single_frame,2026,convlstm_unet,-0.015535515639628517,0.0409410074214204,0.95,candidate improvement over baseline; positive is better,3,4,0.008231593712941035,csi,8,10000,0,4
unet_single_frame,2026,convlstm_unet,-0.017685142990667375,-0.005032342213671662,0.95,candidate improvement over baseline; positive is better,6,7,-0.011194912251085043,mae,8,10000,0,1
unet_single_frame,2026,convlstm_unet,-0.02265059230479244,0.010121028857674519,0.95,candidate improvement over baseline; positive is better,6,6,-0.005787121533946227,csi,8,10000,0,2
unet_single_frame,2026,convlstm_unet,-0.019131946377456188,0.007356338948011397,0.95,candidate improvement over baseline; positive is better,12,4,-0.0051635561510920535,mae,8,10000,0,4
unet_single_frame,2026,convlstm_unet,-0.0496308013555447,0.011037534524446387,0.95,candidate improvement over baseline; positive is better,12,4,-0.015649549255004724,csi,8,10000,0,4
unet_single_frame,2026,convlstm_unet,-0.021351052620448157,0.010863286405801767,0.95,candidate improvement over baseline; positive is better,24,4,-0.004094203747808932,mae,8,10000,0,4
unet_single_frame,2026,convlstm_unet,-0.033894254534596366,0.03441548849676977,0.95,candidate improvement over baseline; positive is better,24,3,0.0007955381631034077,csi,8,10000,0,5
cnn3d,2026,convlstm_unet,-0.0026358604431152366,0.0033620776992756857,0.95,candidate improvement over baseline; positive is better,1,4,0.0003808221779763683,mae,8,10000,0,4
cnn3d,2026,convlstm_unet,-0.038812508865174414,-0.006415104785175318,0.95,candidate improvement over baseline; positive is better,1,5,-0.02207791249293034,csi,8,10000,0,3
cnn3d,2026,convlstm_unet,-0.00668542142957449,0.0007045280188322104,0.95,candidate improvement over baseline; positive is better,3,5,-0.0031471417751163236,mae,8,10000,0,3
cnn3d,2026,convlstm_unet,-0.02119439422245363,-0.005280894496778368,0.95,candidate improvement over baseline; positive is better,3,6,-0.013145666739171946,csi,8,10000,0,2
cnn3d,2026,convlstm_unet,-0.014893318898975851,-0.003385030041681606,0.95,candidate improvement over baseline; positive is better,6,6,-0.008539207139983775,mae,8,10000,0,2
cnn3d,2026,convlstm_unet,-0.024069981564657658,-0.004853044801305129,0.95,candidate improvement over baseline; positive is better,6,6,-0.014456392678988156,csi,8,10000,0,2
cnn3d,2026,convlstm_unet,-0.031831425072159615,0.0005516074597835541,0.95,candidate improvement over baseline; positive is better,12,5,-0.01475464338436723,mae,8,10000,0,3
cnn3d,2026,convlstm_unet,-0.06294878740101724,0.004513046148786892,0.95,candidate improvement over baseline; positive is better,12,5,-0.027553322324861518,csi,8,10000,0,3
cnn3d,2026,convlstm_unet,-0.02554452288895845,0.0026137337181717096,0.95,candidate improvement over baseline; positive is better,24,4,-0.010770803689956664,mae,8,10000,0,4
cnn3d,2026,convlstm_unet,-0.03684424837960429,0.011748914413265244,0.95,candidate improvement over baseline; positive is better,24,4,-0.009553823961410777,csi,8,10000,0,4
convgru,2026,convlstm_unet,-0.00045173231279477293,0.004624060183996334,0.95,candidate improvement over baseline; positive is better,1,4,0.0020102819893509155,mae,8,10000,0,4
convgru,2026,convlstm_unet,-0.015438221888625514,0.01496732127717916,0.95,candidate improvement over baseline; positive is better,1,5,-0.0014208511219174769,csi,8,10000,0,3
convgru,2026,convlstm_unet,-0.002515570870600641,9.759783744812214e-05,0.95,candidate improvement over baseline; positive is better,3,6,-0.0011954586487263417,mae,8,10000,0,2
convgru,2026,convlstm_unet,-0.014657591407848697,0.010535352256070721,0.95,candidate improvement over baseline; positive is better,3,7,-0.0038626752516697643,csi,8,10000,0,1
convgru,2026,convlstm_unet,-0.012752837408334019,-0.0030799024517182273,0.95,candidate improvement over baseline; positive is better,6,7,-0.007795589184388518,mae,8,10000,0,1
convgru,2026,convlstm_unet,-0.030174810108620095,-0.006626124543224324,0.95,candidate improvement over baseline; positive is better,6,7,-0.018673940273012446,csi,8,10000,0,1
convgru,2026,convlstm_unet,-0.024408472592476756,-0.0011055241292342551,0.95,candidate improvement over baseline; positive is better,12,5,-0.012589719239622356,mae,8,10000,0,3
convgru,2026,convlstm_unet,-0.03840919927540659,0.012275735010103872,0.95,candidate improvement over baseline; positive is better,12,4,-0.009000936252283348,csi,8,10000,0,4
convgru,2026,convlstm_unet,-0.024055038020014758,0.00574843617156148,0.95,candidate improvement over baseline; positive is better,24,4,-0.007800274714827539,mae,8,10000,0,4
convgru,2026,convlstm_unet,-0.018356292984201123,0.0090384434659362,0.95,candidate improvement over baseline; positive is better,24,4,-0.004121321897562934,csi,8,10000,0,4
