variant,event_id,mae,csi,mae_delta_vs_A,csi_delta_vs_A,csi_outcome_vs_A,mae_delta_vs_baseline,csi_delta_vs_baseline,csi_outcome_vs_baseline
full,event_0006,0.14741890132427216,0.4287109374997796,0.0,0.0,tie,0.0,0.0,tie
full,event_0007,0.09941169619560242,0.5639465951850281,0.0,0.0,tie,0.0,0.0,tie
full,event_0014,0.0692657008767128,0.9657689144731878,0.0,0.0,tie,0.0,0.0,tie
no_satellite,event_0006,0.21072889864444733,0.4287109374997796,0.06330999732017517,0.0,tie,0.06330999732017517,0.0,tie
no_satellite,event_0007,0.13808226585388184,0.5622944078944478,0.03867056965827942,-0.0016521872905802537,loss,0.03867056965827942,-0.0016521872905802537,loss
no_satellite,event_0014,0.06867252290248871,0.9657689144731878,-0.0005931779742240906,0.0,tie,-0.0005931779742240906,0.0,tie
no_gis,event_0006,0.16487061977386475,0.4315947428332652,0.01745171844959259,0.0028838053334855895,win,0.01745171844959259,0.0028838053334855895,win
no_gis,event_0007,0.13461533188819885,0.56267036979861,0.035203635692596436,-0.0012762253864181394,loss,0.035203635692596436,-0.0012762253864181394,loss
no_gis,event_0014,0.09391549974679947,0.9664643555184824,0.02464979887008667,0.0006954410452946203,win,0.02464979887008667,0.0006954410452946203,win
no_social,event_0006,0.13088321685791016,0.4287109374997796,-0.016535684466362,0.0,tie,-0.016535684466362,0.0,tie
no_social,event_0007,0.1116669699549675,0.5622944078944478,0.012255273759365082,-0.0016521872905802537,loss,0.012255273759365082,-0.0016521872905802537,loss
no_social,event_0014,0.1017996221780777,0.9657689144731878,0.0325339213013649,0.0,tie,0.0325339213013649,0.0,tie
no_meteo,event_0006,0.24899733066558838,0.4287109374997796,0.10157842934131622,0.0,tie,0.10157842934131622,0.0,tie
no_meteo,event_0007,0.19475941359996796,0.5622944078944478,0.09534771740436554,-0.0016521872905802537,loss,0.09534771740436554,-0.0016521872905802537,loss
no_meteo,event_0014,0.08604075759649277,0.9657689144731878,0.016775056719779968,0.0,tie,0.016775056719779968,0.0,tie
no_metadata,event_0006,0.11052258312702179,0.4652324692879179,-0.036896318197250366,0.03652153178813827,win,-0.036896318197250366,0.03652153178813827,win
no_metadata,event_0007,0.11033695936203003,0.5568883824143483,0.010925263166427612,-0.00705821277067975,loss,0.010925263166427612,-0.00705821277067975,loss
no_metadata,event_0014,0.11207526922225952,0.9187118152630637,0.04280956834554672,-0.04705709921012413,loss,0.04280956834554672,-0.04705709921012413,loss
