dataset,location,model_type,model_label,depth_bin_m,seed_count,mae_cm_mean,mae_cm_std,rmse_cm_mean,rmse_cm_std,persistence_mae_cm_mean,persistence_mae_cm_std,persistence_rmse_cm_mean,persistence_rmse_cm_std
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,0.00-0.10,5,0.5251648190928767,0.3316116596204942,1.3687325500623184,0.8539125766239367,0.19814526692370227,0.0820518574342939,0.7471429076337616,0.2399182269958969
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,0.10-0.30,5,5.233761763924287,2.5624188230553537,7.147597354992196,2.868448668218005,6.984096132234084,3.3658797525185227,8.982318570991637,3.6884968483416007
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,0.30-0.50,5,11.112271598727668,5.231589989695619,15.101965864509078,5.833918537737176,16.111226174829273,7.789617577595793,19.18374176170263,7.695464513920458
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,0.50+,5,29.906806860708976,16.060134925008942,37.189083883340686,19.413020425545295,40.83363789344546,22.6379290945653,46.73894633636522,24.54555430081645
larno_ukea,ukea,convlstm,Conv-LSTM,0.00-0.10,5,0.40935410992230953,0.2522873725006156,1.2559113620758147,0.8155200138422822,0.19814526692370227,0.0820518574342939,0.7471429076337616,0.2399182269958969
larno_ukea,ukea,convlstm,Conv-LSTM,0.10-0.30,5,5.5590899144616275,2.686158888462204,7.524531988375629,2.962702052736142,6.984096132234084,3.3658797525185227,8.982318570991637,3.6884968483416007
larno_ukea,ukea,convlstm,Conv-LSTM,0.30-0.50,5,11.727343693556397,5.394388761420305,15.833252659133063,5.818337919214557,16.111226174829273,7.789617577595793,19.18374176170263,7.695464513920458
larno_ukea,ukea,convlstm,Conv-LSTM,0.50+,5,29.955933338614553,15.047324702153968,37.46829285520873,18.52518779581102,40.83363789344546,22.6379290945653,46.73894633636522,24.54555430081645
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,0.00-0.10,5,0.4201051848041741,0.32062301219370787,1.33411080746411,0.9375794909188931,0.19814526692370227,0.0820518574342939,0.7471429076337616,0.2399182269958969
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,0.10-0.30,5,5.628784392426421,2.6760960657113033,7.598502253943657,2.9979924990071094,6.984096132234084,3.3658797525185227,8.982318570991637,3.6884968483416007
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,0.30-0.50,5,12.465697942844418,5.868152802188832,16.247920737663783,6.174917972617397,16.111226174829273,7.789617577595793,19.18374176170263,7.695464513920458
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,0.50+,5,31.397554535825087,16.319389729181584,38.567312533767755,19.376709618891493,40.83363789344546,22.6379290945653,46.73894633636522,24.54555430081645
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),0.00-0.10,5,0.499079957209644,0.27006953495235886,1.2045654107111134,0.6988316107999564,0.19814526692370227,0.0820518574342939,0.7471429076337616,0.2399182269958969
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),0.10-0.30,5,4.359096458101812,1.832042478926637,6.467900062507603,2.08386286899539,6.984096132234084,3.3658797525185227,8.982318570991637,3.6884968483416007
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),0.30-0.50,5,10.335706594133331,4.124994719907069,15.178508121365615,5.160199945310129,16.111226174829273,7.789617577595793,19.18374176170263,7.695464513920458
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),0.50+,5,30.419468534909953,15.738632986618994,37.82604701432433,18.96845332479181,40.83363789344546,22.6379290945653,46.73894633636522,24.54555430081645
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),0.00-0.10,5,0.4426066547000239,0.2480989131818139,1.2022413405545485,0.6239909507980278,0.19814526692370227,0.0820518574342939,0.7471429076337616,0.2399182269958969
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),0.10-0.30,5,4.655762317063356,2.0648816755713333,6.77997630863913,2.324641554159409,6.984096132234084,3.3658797525185227,8.982318570991637,3.6884968483416007
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),0.30-0.50,5,10.937719270717588,4.558778239562151,15.771096888992028,5.491931582599157,16.111226174829273,7.789617577595793,19.18374176170263,7.695464513920458
larno_ukea,ukea,simvp_lite,SimVP Lite (adapted),0.50+,5,33.58273734139543,18.17308229909158,40.65656846808852,20.96870377139497,40.83363789344546,22.6379290945653,46.73894633636522,24.54555430081645
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),0.00-0.10,5,0.5083451862934862,0.29249831819211086,1.410089197038557,0.7988824281475225,0.19814526692370227,0.0820518574342939,0.7471429076337616,0.2399182269958969
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),0.10-0.30,5,4.602978399655311,2.0466819579650983,6.759433570107042,2.318790181773319,6.984096132234084,3.3658797525185227,8.982318570991637,3.6884968483416007
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),0.30-0.50,5,10.673031375708739,4.278143074968878,15.66215902624519,5.375203542029821,16.111226174829273,7.789617577595793,19.18374176170263,7.695464513920458
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),0.50+,5,33.529374062297414,17.955531819896947,40.795924903450945,20.94016653265017,40.83363789344546,22.6379290945653,46.73894633636522,24.54555430081645
