dataset,location,model_a,model_a_label,model_b,model_b_label,event_count,mae_delta_a_minus_b_cm,mae_delta_ci95_low_cm,mae_delta_ci95_high_cm,mae_a_win_rate,mae_permutation_p,csi_delta_a_minus_b,csi_delta_ci95_low,csi_delta_ci95_high,csi_a_win_rate,csi_permutation_p
larno_ukea,ukea,convlstm,Conv-LSTM,convlstm_attention,Conv-LSTM + Attention,12,-0.08201503071805423,-0.1472243986229787,-0.026417613703972165,0.8333333333333334,0.01416015625,0.01089126101413912,0.005875966362221981,0.015547128922373659,0.8333333333333334,0.00390625
larno_ukea,ukea,convlstm,Conv-LSTM,cnn_temporal_transformer,CNN-Temporal Transformer,12,-0.08819494649567851,-0.1121282340624628,-0.06108833197974449,0.9166666666666666,0.0009765625,-0.004304359159242478,-0.006817772031962755,-0.0016208583109825628,0.25,0.0126953125
larno_ukea,ukea,convlstm,Conv-LSTM,urnn_lite,U-RNN Lite (adapted),12,-0.15045542565382009,-0.3615678924470223,0.025603764135996507,0.75,0.203125,-0.022732378124899644,-0.04040248899429302,-0.004194882578059377,0.3333333333333333,0.04248046875
larno_ukea,ukea,convlstm,Conv-LSTM,fno2d_history,FNO2D-History (adapted),12,-0.006334710265795944,-0.06651080716031846,0.04593332694587332,0.4166666666666667,0.84765625,-0.05765047597206189,-0.071387794589166,-0.04085699127575853,0.08333333333333333,0.0009765625
larno_ukea,ukea,convlstm,Conv-LSTM,simvp_lite,SimVP Lite (adapted),12,-0.10361579748389758,-0.30716307537661486,0.05757187358941311,0.4166666666666667,0.42724609375,-0.0315346331793589,-0.04725091589058017,-0.013754086163064862,0.16666666666666666,0.00830078125
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,cnn_temporal_transformer,CNN-Temporal Transformer,12,-0.006179915777624279,-0.08106584781444182,0.07412131746245414,0.5,0.88671875,-0.015195620173381599,-0.021271403961168518,-0.008770528869699997,0.16666666666666666,0.001953125
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,urnn_lite,U-RNN Lite (adapted),12,-0.06844039493576586,-0.22183029425520803,0.05940001650702777,0.4166666666666667,0.40771484375,-0.03362363913903876,-0.05179846278793724,-0.01428735383128425,0.16666666666666666,0.00927734375
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,fno2d_history,FNO2D-History (adapted),12,0.0756803204522583,0.05470398865886306,0.09491517921323883,0.0,0.00048828125,-0.06854173698620102,-0.08261000017454169,-0.05064069988792954,0.0,0.00048828125
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,simvp_lite,SimVP Lite (adapted),12,-0.021600766765843327,-0.17453116530778967,0.09706841351889793,0.25,0.72314453125,-0.04242589419349802,-0.058922066351758506,-0.023419193386680612,0.16666666666666666,0.00341796875
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,urnn_lite,U-RNN Lite (adapted),12,-0.062260479158141584,-0.2909609617378724,0.1289266630491072,0.5,0.58935546875,-0.018428018965657166,-0.03813566441084395,0.0022862008057754455,0.3333333333333333,0.11474609375
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,fno2d_history,FNO2D-History (adapted),12,0.08186023622988257,0.00657815243552465,0.15358007632550777,0.3333333333333333,0.0615234375,-0.053346116812819415,-0.06898650942101486,-0.035297095354740446,0.16666666666666666,0.001953125
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,simvp_lite,SimVP Lite (adapted),12,-0.015420850988219048,-0.23754521786919403,0.16428508255003507,0.3333333333333333,0.87744140625,-0.027230274020116425,-0.04452447499901489,-0.007452435549184951,0.25,0.021484375
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),fno2d_history,FNO2D-History (adapted),12,0.14412071538802415,0.013562047023842432,0.3012325527634492,0.16666666666666666,0.07373046875,-0.034918097847162245,-0.05019164507446473,-0.01937831573361057,0.16666666666666666,0.001953125
larno_ukea,ukea,urnn_lite,U-RNN Lite (adapted),simvp_lite,SimVP Lite (adapted),12,0.04683962816992252,0.0067644836099917185,0.08030449223793716,0.16666666666666666,0.0400390625,-0.00880225505445926,-0.014868012044911186,-0.0020783860923748385,0.16666666666666666,0.0302734375
larno_ukea,ukea,fno2d_history,FNO2D-History (adapted),simvp_lite,SimVP Lite (adapted),12,-0.09728108721810162,-0.26136025941557184,0.021942507384873095,0.5833333333333334,0.42919921875,0.026115842792702987,0.01571697444694111,0.03722566817334503,1.0,0.00048828125
