model_type,model_label,learning_rate,best_validation_loss,best_epoch,epochs_ran,validation_mae_cm,validation_csi,training_time_sec,test_evaluated
convlstm,Conv-LSTM,0.0001,0.045743668308624856,4,7,0.7419602636108653,0.7616813265221636,15.22730803489685,False
convlstm,Conv-LSTM,0.0003,0.046379166726882644,3,6,0.9358617824713373,0.7392456949705741,12.994160175323486,False
convlstm,Conv-LSTM,0.001,0.0417917835024687,3,6,0.698669870212307,0.8016406384981238,13.127943754196167,False
convlstm_attention,Conv-LSTM + Attention,0.0001,0.04838381764980463,6,8,0.947659023593185,0.7090698840907153,17.680224418640137,False
convlstm_attention,Conv-LSTM + Attention,0.0003,0.04714683414651798,7,8,1.0124164158521631,0.742349628424283,17.362048387527466,False
convlstm_attention,Conv-LSTM + Attention,0.001,0.047471534747343794,3,6,0.7465501949129376,0.753100091647238,13.53809118270874,False
cnn_temporal_transformer,CNN-Temporal Transformer,0.0001,0.040615847190985314,5,8,0.6381743802600421,0.8080223874394519,27.869426488876343,False
cnn_temporal_transformer,CNN-Temporal Transformer,0.0003,0.04407298392974413,1,4,0.7189257819270854,0.7833712647237863,14.445003032684326,False
cnn_temporal_transformer,CNN-Temporal Transformer,0.001,0.04324135442192738,1,4,0.6576643565366844,0.7825497977394837,14.425678253173828,False
urnn_lite,U-RNN Lite (adapted),0.0001,0.038111184938595846,5,8,0.7163220336852425,0.812980542792674,47.212207317352295,False
urnn_lite,U-RNN Lite (adapted),0.0003,0.04016669381123323,1,4,0.6999545725700291,0.8022012583393779,24.46172547340393,False
urnn_lite,U-RNN Lite (adapted),0.001,0.040129367548685804,2,5,0.6050347277562469,0.8177887068407635,30.276121616363525,False
fno2d_history,FNO2D-History (adapted),0.0001,0.0375897609270536,4,7,0.7130550336820509,0.8112452440276856,10.754796981811523,False
fno2d_history,FNO2D-History (adapted),0.0003,0.03818750209533251,4,7,0.7569768424392083,0.8224273949076598,10.838413000106812,False
fno2d_history,FNO2D-History (adapted),0.001,0.03703979402780533,7,8,0.777974548334629,0.8241388628514685,12.420020580291748,False
simvp_lite,SimVP Lite (adapted),0.0001,0.03833046039709678,2,5,0.6302915474540198,0.8212006828646263,18.56647539138794,False
simvp_lite,SimVP Lite (adapted),0.0003,0.04368834656018477,1,4,0.9097240028605262,0.7651715882817098,15.254459857940674,False
simvp_lite,SimVP Lite (adapted),0.001,0.04173313769010397,2,5,0.7603266856177675,0.788181589632841,18.53337025642395,False
